Index,HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Lat,Lng
15,Banner Health,Banner Health Clinic,20325 N 51ST AVE STE 170 BLDG 9,,GLENDALE,AZ,85308,,
16,Banner Health,Banner Children’s Specialists Critical Care Clinic,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,
17,Banner Health,Banner – University Medicine Women’s Clinic,"15810 S. 45TH ST., SUITE 105",,PHOENIX,AZ,85048,,
18,Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,
19,Banner Health,Banner - University Medicine Neurosurgery Clinic,"755 E MCDOWELL RD., 2ND FLOOR",,PHOENIX,AZ,85006,,
20,Banner Health,Banner Thunderbird Surgery Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,
21,Banner Health,Banner Surgery Center - Union Hills,18301 N 79TH AVE STE E150,,GLENDALE,AZ,85308,,
22,Banner Health,Banner Surgery Center - Estrella,9301 W THOMAS RD,,PHOENIX,AZ,85037,,
23,Banner Health,Banner Surgery Center - University,"1111 E MCDOWELL RD, SUITE B",,PHOENIX,AZ,85006,,
24,Banner Health,Banner Surgery Center - Desert,1500 S DOBSON RD STE 101,,MESA,AZ,85202,,
25,Banner Health,Banner Surgery Center - Greeley,5890 W 13TH ST STE 102,,GREELEY,CO,80634,,
26,Banner Health,Banner Surgery Center - Peoria,13640 N PLAZA DEL RIO BLVD STE 135,,PEORIA,AZ,85381,,
27,Banner Health,Banner Surgery Center - Alvernon,750 N ALVERNON WAY,,TUCSON,AZ,85711,,
28,Banner Health,Banner Surgery Center - South Valley,"36453 N GANTZEL RD., SUITE 102",,SAN TAN VALLEY,AZ,85140,,
29,Banner Health,Banner Surgery Center - Loveland,2555 E 13TH ST STE 200,,LOVELAND,CO,80537,,
30,Banner Health,Banner Surgery Center - Sun City West,14416 W MEEKER BLVD STE 103,,SUN CITY WEST,AZ,85375,,
31,Banner Health,Banner Surgery Center - Tempe,1940 E. SOUTHERN AVE.,,TEMPE,AZ,85282,,
32,Banner Health,Banner Imaging Sunwest Breast Center,"5757 W THUNDERBIRD RD, STE W100",,GLENDALE,AZ,85306,,
33,Banner Health,Banner Imaging Estrella Breast Center,"9305 W THOMAS RD, STE 200",,PHOENIX,AZ,85037,,
34,Banner Health,Banner Imaging Paradise Valley Breast Center,"16641 N 40TH ST., SUITE W101",,PHOENIX,AZ,85032,,
35,Banner Health,Banner Baywood Womens Center,6644 E BAYWOOD AVE,,MESA,AZ,85206,,
36,Banner Health,Banner Imaging Baywood Breast Center,6553 E BAYWOOD AVE STE 102,,MESA,AZ,85206,,
37,Banner Health,Banner Imaging Dobson Breast Center,"1450 S DOBSON RD, STE A100",,MESA,AZ,85202,,
38,Banner Health,North Colorado Medical Center Breast Center,2001 70TH AVE,,GREELEY,CO,80634,,
39,Banner Health,Banner - University Medicine Breast Imaging Center,4291 N CAMPBELL AVE,,TUCSON,AZ,85719,,
40,Banner Health,McKee Breast Center,2000 BOISE AVE,,LOVELAND,CO,80538,,
41,Banner Health,Banner Casa Grande Breast Center,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,
42,Banner Health,Horizon Laboratory,2001 70TH AVE,,GREELEY,CO,80634,,
43,Banner Health,Horizon Laboratory,102 HAYS AVE,,STERLING,AZ,80751,,
44,Banner Health,Horizon Laboratory,2923 GINNALA DR,,LOVELAND,CO,80738,,
45,Banner Health,Horizon Laboratory,1230 14TH ST SW,,LOVELAND,CO,80537,,
46,Banner Health,Horizon Laboratory,2555 E 13TH ST STE 115,,LOVELAND,CO,80537,,
47,Banner Health,Horizon Laboratory,702 W DRAKE RD BLDG A,,FORT COLLINS,CO,80526,,
48,Banner Health,Horizon Laboratory,4700 LADY MOON DR,,FORT COLLINS,CO,80528,,
49,Banner Health,Banner Casa Grande Coumadin Clinic,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,
50,Banner Health,Horizon Laboratory,1300 MAIN ST,,WINDSOR,CO,80550,,
51,Banner Health,Banner Family Pharmacy,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,
52,Banner Health,Banner Family Pharmacy,1441 N 12TH ST,,PHOENIX,AZ,85006,,
53,Banner Health,Banner Family Pharmacy,9201 W THOMAS RD,,PHOENIX,AZ,85037,,
54,Banner Health,Banner Family Pharmacy,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,
55,Banner Health,Banner Family Pharmacy,6644 E BAYWOOD AVE,,MESA,AZ,85206,,
56,Banner Health,Banner Family Pharmacy,1400 S DOBSON RD,,MESA,AZ,85202,,
57,Banner Health,Banner Family Pharmacy,1801 16TH ST,,GREELEY,CO,80631,,
58,Banner Health,Banner Family Pharmacy,2001 70TH AVE,,GREELEY,CO,80634,,
59,Banner Health,Banner Family Pharmacy,13640 N PLAZA DEL RIO BLVD,,PEORIA,AZ,85306,,
60,Banner Health,Banner Family Pharmacy,2800 E AJO WAY,,TUCSON,AZ,85713,,
61,Banner Health,Banner Family Pharmacy,1625 N CAMPBELL AVE.,,TUCSON,AZ,85719,,
62,Banner Health,Banner Family Pharmacy,2555 E 13TH ST STE 125,,LOVELAND,CO,80537,,
63,Banner Health,Banner Family Pharmacy,14502 W MEEKER BLVD,,SUN CITY WEST,AZ,85375,,
64,Banner Health,Banner Family Pharmacy,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,
65,Banner Health,Banner Family Pharmacy,2946 E BANNER GATEWAY DR,,GILBERT,AZ,85234,,
66,Banner Health,Banner Family Pharmacy at Banner Gateway,1900 N HIGLEY RD,,GILBERT,AZ,85234,,
67,Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,
68,Banner Health,Banner Thunderbird Cardiac and Pulmonary Rehabilitation,5601 W EUGIE AVE STE 211 A & B,,GLENDALE,AZ,85304,,
69,Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,
70,Banner Health,Banner - University Medicine Lung Institute,755 E. MCDOWELL ROAD,,PHOENIX,AZ,85006,,
71,Banner Health,Banner Alzheimer's Institute,901 E WILLETTA ST 1ST FLOOR AND 3RD FLOOR,,PHOENIX,AZ,85006,,
72,Banner Health,Banner - University Medicine Behavioral Health Clinic,1300 N 12TH ST STE 320,,PHOENIX,AZ,85006,,
73,Banner Health,Banner - University Medicine Transplant Center and Advanced Liver Disease Clinic,1300 N 12TH ST STE 404,,PHOENIX,AZ,85006,,
74,Banner Health,Banner - University Medical Center Phoenix Sleep Center,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,
75,Banner Health,Banner Estrella Weight Loss Center,9305 W THOMAS RD STE 360,,PHOENIX,AZ,85037,,
76,Banner Health,Banner Corporate Center,2901 N CENTRAL AVE STE 160,,PHOENIX,AZ,85012,,
77,Banner Health,Banner Corporate Center Mesa,525 W BROWN RD,,MESA,AZ,85201,,
78,Banner Health,Hospitality House at North Colorado Medical Center,1910 15TH ST,,GREELEY,CO,80631,,
79,Banner Health,Banner Corporate Center,7251 W 4TH ST,,GREELEY,CO,80634,,
80,Banner Health,Banner Olive Branch Senior Center,11250 N 107TH AVE,,SUN CITY,AZ,85351,,
81,Banner Health,Banner Sun Health Research Institute,10515 W SANTA FE DR,,SUN CITY,AZ,85351,,
82,Banner Health,Banner Home Care,708 E ROUTE 260 STE A1,,PAYSON,AZ,85541,,
83,Banner Health,Stepping Stones Adult Day Program,302 3RD ST SE STE 100,,LOVELAND,CO,80537,,
84,Banner Health,Banner Academy,1410 W 10TH PL,,TEMPE,AZ,85281,,
85,Genesis Health System,"Genesis Employee Assistance Program, DeWitt",1008 11th Street,,DeWitt,IA,52742,,
86,Genesis Health System,"Genesis Employee Assistance Program, Clinton",1127 North Second Street,Suite F,Clinton,IA,52732,,
87,Genesis Health System,"Genesis Occupational Health, Clinton",1647 Lincoln Way,,Clinton,IA,52732,,
88,Genesis Health System,"Genesis Employee Assistance Program, Muscatine",2925 Cedar Street,Suite 2,Muscatine,IA,52761,,
89,Genesis Health System,Genesis Employee Wellness,210 West 53rd Street,,Davenport,IA,52806,,
90,Genesis Health System,"Genesis Occupational Health, Davenport, West 53rd Street",210 West 53rd Street,,Davenport,IA,52806,,
91,Genesis Health System,"Genesis Employee Assistance Program, Davenport",1910 East Kimberly Road,Suite 314,Davenport,IA,52807,,
92,Genesis Health System,"Genesis Occupational Health, Bettendorf",4017 Devils Glen Road,Suite 101,Bettendorf,IA,52722,,
93,Genesis Health System,"Genesis Employee Assistance Program, Bettendorf",2535 Maplecrest Road,Suite 13,Bettendorf,IA,52722,,
94,Genesis Health System,"Genesis Employee Assistance Program, Rock Island",2100 18th Avenue,Suite 6,Rock Island,IL,61201,,
95,Genesis Health System,"Genesis Occupational Health, Moline",2526 41st Street,,Moline,IL,61265,,
96,Genesis Health System,"Genesis Occupational Health, Moline",2526 41st Street,,Moline,IL,61265,,
97,Genesis Health System,"Genesis Occupational Health, Moline",2526 41st Street,,Moline,IL,61265,,
98,Genesis Health System,"Genesis Occupational Health, Moline",2526 41st Street,,Moline,IL,61265,,
99,Genesis Health System,"Genesis Occupational Health, Moline",2526 41st Street,,Moline,IL,61265,,
100,Genesis Health System,"Genesis Medical Center, DeWitt, Laboratory",1118 11th Street,,DeWitt,IA,52742,,
101,Genesis Health System,"Genesis Health Group Lab, Eldridge",301 North 4th Avenue,,Eldridge,IA,52748,,
102,Genesis Health System,"Genesis Health Group, Laboratory, Davenport, W 53rd & NW Boulevard",1520 West 53rd Street,,Davenport,IA,52806,,
103,Genesis Health System,"Genesis Health Group, Laboratory @ Genesis HealthPlex, Davenport",3200 W. Kimberly Rd.,,Davenport,IA,52806,,
104,Genesis Health System,"Genesis Health Group, Laboratory, Davenport, West 53rd Street",210 West 53rd Street,,Davenport,IA,52806,,
105,Genesis Health System,"Genesis Medical Center, Davenport, West Central Park, Laboratory",1401 West Central Park Avenue,,Davenport,IA,52804,,
106,Genesis Health System,"Genesis Health Group, Laboratory @ Genesis HealthPlex, Bettendorf",2140 53rd Avenue,,Bettendorf,IA,52722,,
107,Genesis Health System,"Genesis Medical Center, East - Lab",1227 East Rusholme Street,,Davenport,IA,52803,,
108,Genesis Health System,"Genesis Health Group, Laboratory, Bettendorf, 53rd Avenue @ Woodlands",4321 53rd Avenue,,Bettendorf,IA,52722,,
109,Genesis Health System,"Genesis Health Group Lab, Lincoln Road",865 Lincoln Road,Suite 300,Bettendorf,IA,52722,,
110,Genesis Health System,"Genesis Health Group, Lab, Moline Valley View",615 Valley View Drive,,Moline,IL,61265,,
111,Genesis Health System,"Genesis Health Group, Laboratory @ Genesis HealthPlex, Moline",3900 28th Avenue Drive,,Moline,IL,61265,,
112,Genesis Health System,"Genesis Health Group, Laboratory, Silvis",855 Illini Drive,Suite 302,Silvis,IL,61282,,
113,Genesis Health System,"Genesis Medical Center, Silvis - Lab",905 Illini Drive,Building 1,Silvis,IL,61282,,
114,Genesis Health System,"Genesis Medical Center, Aledo | Laboratory",409 NW Ninth Avenue,,Aledo,IL,61231,,
115,Genesis Health System,"Genesis Medical Center, DeWitt Pain Clinic",1118 11th Street,,DeWitt,IA,52742,,
116,Genesis Health System,"Genesis Sleep Disorders Center, DeWitt",1118 11th Street,,DeWitt,IA,52742,,
117,Genesis Health System,Genesis Cancer Care Institute,1351 West Central Park Avenue,"Pavilion 1, 1st Floor",Davenport,IA,52804,,
118,Genesis Health System,"Genesis Sleep Disorders Center, West Campus",1401 West Central Park Avenue,,Davenport,IA,52804,,
119,Genesis Health System,"Genesis Wound & Hyperbaric Institute, Davenport",1351 West Central Park Avenue,Suite 1225,Davenport,IA,52804,,
120,Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,,
121,Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,,
122,Genesis Health System,Genesis Cancer Genetics,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
123,Genesis Health System,Genesis Center for Breast Health,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
124,Genesis Health System,Genesis Center for Weight Management,1230 East Rusholme Street,"Medical Office Building 2, Suite 101",Davenport,IA,52803,,
125,Genesis Health System,"Genesis Medical Center, DeWitt Pain Clinic",1118 11th Street,,DeWitt,IA,52742,,
126,Genesis Health System,"Genesis Sleep Disorders Center, DeWitt",1118 11th Street,,DeWitt,IA,52742,,
127,Genesis Health System,Genesis Cancer Care Institute,1351 West Central Park Avenue,"Pavilion 1, 1st Floor",Davenport,IA,52804,,
128,Genesis Health System,"Genesis Sleep Disorders Center, West Campus",1401 West Central Park Avenue,,Davenport,IA,52804,,
129,Genesis Health System,"Genesis Wound & Hyperbaric Institute, Davenport",1351 West Central Park Avenue,Suite 1225,Davenport,IA,52804,,
130,Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,,
131,Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,,
132,Genesis Health System,Genesis Cancer Genetics,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
133,Genesis Health System,Genesis Center for Breast Health,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
134,Genesis Health System,Genesis Center for Weight Management,1230 East Rusholme Street,"Medical Office Building 2, Suite 101",Davenport,IA,52803,,
135,Genesis Health System,"Genesis Medical Center, DeWitt Pain Clinic",1118 11th Street,,DeWitt,IA,52742,,
136,Genesis Health System,"Genesis Sleep Disorders Center, DeWitt",1118 11th Street,,DeWitt,IA,52742,,
137,Genesis Health System,Genesis Cancer Care Institute,1351 West Central Park Avenue,"Pavilion 1, 1st Floor",Davenport,IA,52804,,
138,Genesis Health System,"Genesis Sleep Disorders Center, West Campus",1401 West Central Park Avenue,,Davenport,IA,52804,,
139,Genesis Health System,"Genesis Wound & Hyperbaric Institute, Davenport",1351 West Central Park Avenue,Suite 1225,Davenport,IA,52804,,
140,Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,,
141,Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,,
142,Genesis Health System,Genesis Cancer Genetics,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
143,Genesis Health System,Genesis Center for Breast Health,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
144,Genesis Health System,Genesis Center for Weight Management,1230 East Rusholme Street,"Medical Office Building 2, Suite 101",Davenport,IA,52803,,
145,Genesis Health System,"Genesis Medical Center, DeWitt Pain Clinic",1118 11th Street,,DeWitt,IA,52742,,
146,Genesis Health System,"Genesis Sleep Disorders Center, DeWitt",1118 11th Street,,DeWitt,IA,52742,,
147,Genesis Health System,Genesis Cancer Care Institute,1351 West Central Park Avenue,"Pavilion 1, 1st Floor",Davenport,IA,52804,,
148,Genesis Health System,"Genesis Sleep Disorders Center, West Campus",1401 West Central Park Avenue,,Davenport,IA,52804,,
149,Genesis Health System,"Genesis Wound & Hyperbaric Institute, Davenport",1351 West Central Park Avenue,Suite 1225,Davenport,IA,52804,,
150,Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,,
151,Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,,
152,Genesis Health System,Genesis Cancer Genetics,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
153,Genesis Health System,Genesis Center for Breast Health,1228 East Rusholme Street,"Medical Office Building #1, 2nd floor",Davenport,IA,52803,,
154,Genesis Health System,Genesis Center for Weight Management,1230 East Rusholme Street,"Medical Office Building 2, Suite 101",Davenport,IA,52803,,
155,Sutter Health,Albany Care Center,500 San Pablo Avenue,,Albany,CA,94706,37.8975,-122.302
156,Sutter Health,Albany Center Lab,500 San Pablo Avenue,,Albany,CA,94706,37.8977,-122.302
157,Sutter Health,Alhambra Medical Office,1201 Alhambra Blvd.,,Sacramento,CA,95816,38.57,-121.466
158,Sutter Health,Alhambra Sutter Occupational Health,Suite 210,,Sacramento,CA,95816,38.57,-121.466
159,Sutter Health,Alta Bates Campus Birth Center,2450 Ashby Avenue,,Berkeley,CA,94705,37.8557,-122.257
160,Sutter Health,Alta Bates Campus Diagnostic Imaging,2450 Ashby Avenue,,Berkeley,CA,94705,37.8554,-122.257
161,Sutter Health,Alta Bates Campus Emergency Department,2450 Ashby Avenue,,Berkeley,CA,94705,37.8554,-122.257
162,Sutter Health,Alta Bates Campus Lab,2450 Ashby Avenue,,Berkeley,CA,94705,37.8554,-122.257
163,Sutter Health,Alta Bates Campus Telegraph Care Center,3030 Telegraph Avenue,,Berkeley,CA,94705,37.8548,-122.26
164,Sutter Health,Alta Bates High Risk Infant Follow Up Clinic,3011 Telegraph Avenue,,Berkeley,CA,94705,37.8557,-122.259
165,Sutter Health,Alta Bates Outpatient Services,5730 Telegraph Avenue,,Oakland,CA,94609,37.8438,-122.261
166,Sutter Health,Alta Bates Summit Imaging,Ground Floor,,Oakland,CA,94609,37.8201,-122.264
167,Sutter Health,Alta Bates Summit Medical Center | Alta Bates Campus,2450 Ashby Avenue,,Berkeley,CA,94705,37.8557,-122.257
168,Sutter Health,Alta Bates Summit Medical Center | Herrick Campus,2001 Dwight Way,,Berkeley,CA,94704,37.864,-122.269
169,Sutter Health,Alta Bates Summit Medical Center | Regional Acute Rehabilitation Center,350 Hawthorne Avenue,,Oakland,CA,94609,37.8215,-122.263
170,Sutter Health,Alta Bates Summit Medical Center | Summit Campus,350 Hawthorne Avenue,,Oakland,CA,94609,37.8215,-122.263
171,Sutter Health,Alta Bates Summit Outpatient Pharmacy (ABSOP),Suite 2182,,Berkeley,CA,94704,37.8642,-122.269
172,Sutter Health,Antioch Care Center,4053 Lone Tree Way,,Antioch,CA,94509,37.9765,-121.8
173,Sutter Health,Antioch Center Imaging,4053 Lone Tree Way,,Antioch,CA,94509,37.9765,-121.8
174,Sutter Health,Antioch Center Lab,4053 Lone Tree Way,,Antioch,CA,94509,37.9771,-121.802
175,Sutter Health,Antioch Urgent Care,Suite 101,,Antioch,CA,94509,37.9771,-121.802
176,Sutter Health,Apogee Surgery Center,1238 West Street,,Redding,CA,96001,40.5853,-122.399
177,Sutter Health,Aptos Center,7600 Old Dominion Court,,Aptos,CA,95003,36.9794,-121.91
178,Sutter Health,Aptos Center Imaging,1st Floor,,Aptos,CA,95003,36.9794,-121.91
179,Sutter Health,Aptos Center Lab,1st Floor,,Aptos,CA,95003,36.9794,-121.91
180,Sutter Health,Aptos Walk-In Care,26 Rancho Del Mar,,Aptos,CA,95003,36.9782,-121.908
181,Sutter Health,Auburn Sierra Medical Office,11795 Education Street,,Auburn,CA,95602,38.9447,-121.099
182,Sutter Health,Auburn Urgent Care,Suite 201,,Auburn,CA,95602,38.9447,-121.099
183,Sutter Health,Behavioral Health Center,Suite 2A,,Modesto,CA,95355,37.6878,-120.977
184,Sutter Health,Bell Road Care Center,3320 Bell Road,,Auburn,CA,95603,38.9422,-121.106
185,Sutter Health,Bell Road Lab(Temporarily Closed),3288 Bell Road,,Auburn,CA,95603,38.9425,-121.104
186,Sutter Health,Berkeley Urgent Care,2500 Milvia Street,,Berkeley,CA,94704,37.8633,-122.27
187,Sutter Health,Brentwood Care Center,350 John Muir Parkway,,Brentwood,CA,94513,37.9199,-121.734
188,Sutter Health,Brentwood Center Lab,Suite 160,,Brentwood,CA,94513,37.9199,-121.734
189,Sutter Health,Briggsmore Specialty Center,1409 East Briggsmore Avenue,,Modesto,CA,95355,37.6674,-120.973
190,Sutter Health,Briggsmore Specialty Center Imaging,1409 East Briggsmore Avenue,,Modesto,CA,95355,37.6674,-120.973
191,Sutter Health,Briggsmore Specialty Center Lab,1409 East Briggsmore Avenue,,Modesto,CA,95355,37.6674,-120.973
192,Sutter Health,Briggsmore Specialty Surgery Care Center,1409 East Briggsmore Avenue,,Modesto,CA,95355,37.6674,-120.973
193,Sutter Health,Buhler Specialty Pavilion,2800 L Street,,Sacramento,CA,95816,38.5711,-121.47
194,Sutter Health,Burlingame Center,Building B,,Burlingame,CA,94010,37.5921,-122.383
195,Sutter Health,Burlingame Center Imaging,"Building B, 1st Floor",,Burlingame,CA,94010,37.5923,-122.382
196,Sutter Health,Burlingame Center Lab,"Building B, 1st Floor",,Burlingame,CA,94010,37.5923,-122.382
197,Sutter Health,Burlingame Outreach Clinic,Suite 215,,Burlingame,CA,94010,37.5924,-122.382
198,Sutter Health,CaliforniaÂ PacificÂ Regional Rehabilitation Center at CPMC,L142,,San Francisco,CA,94114,37.769,-122.436
199,Sutter Health,Capitol City Surgery Center,Suite 100,,Sacramento,CA,95815,38.5988,-121.445
200,Sutter Health,Capitola Center,815 Bay Avenue,,Capitola,CA,95010,36.9809,-121.957
201,Sutter Health,Capitola Center Lab(Temporarily Closed),815 Bay Avenue,,Capitola,CA,95010,36.9809,-121.957
202,Sutter Health,Carlsbad Surgery Center,Suite 100,,Carlsbad,CA,92011,33.1182,-117.319
203,Sutter Health,Carol Ann Read Breast Health Center,Ground Floor,,Oakland,CA,94609,37.8201,-122.264
204,Sutter Health,Castro & Duboce Streets Care Center,Castro and Duboce Streets,,San Francisco,CA,94114,37.7624,-122.434
205,Sutter Health,Castro Valley Care Center,20101 Lake Chabot Road,,Castro Valley,CA,94546,37.698,-122.087
206,Sutter Health,Castro Valley Center Imaging,20101 Lake Chabot Road,,Castro Valley,CA,94546,37.6984,-122.089
207,Sutter Health,Castro Valley Center Lab,20101 Lake Chabot Road,,Castro Valley,CA,94546,37.6985,-122.089
208,Sutter Health,Castro Valley Urgent Care,20101 Lake Chabot Road,,Castro Valley,CA,94546,37.6985,-122.089
209,Sutter Health,Ceres Care Center,2516 East Whitmore Avenue,,Ceres,CA,95307,37.5943,-120.949
210,Sutter Health,Ceres Care Center Lab,2516 East Whitmore Avenue,,Ceres,CA,95307,37.5943,-120.949
211,Sutter Health,Chico Outreach Clinic,Suite 3,,Chico,CA,95926,39.743,-121.85
212,Sutter Health,Citrus Heights Walk-In Care,Suite 3,,Citrus Heights,CA,95610,38.6653,-121.271
213,Sutter Health,Coast Surgery Center,Suite 100,,San Diego,CA,92123,32.8056,-117.15
214,Sutter Health,Commercial Crossing Center,2850 Commercial Crossing,,Santa Cruz,CA,95065,36.988,-121.982
215,Sutter Health,Concord Outreach Clinic,2222 East Street,,Concord,CA,94520,37.9814,-122.033
216,Sutter Health,Concord Walk-In Care,2095 Diamond Blvd.,,Concord,CA,94520,37.973,-122.058
217,Sutter Health,"CPMC Birth Center, Mission Bernal Campus",3555 Cesar Chavez Street,,San Francisco,CA,94110,37.7471,-122.421
218,Sutter Health,"CPMC Birth Center, Van Ness Campus",1101 Van Ness Avenue,,San Francisco,CA,94109,37.7859,-122.422
219,Sutter Health,CPMC California Campus,3700 California Street,,San Francisco,CA,94118,37.7865,-122.456
220,Sutter Health,CPMC California Campus | 3698 California Street,3698 California Street,,San Francisco,CA,94118,37.7867,-122.455
221,Sutter Health,CPMC California Campus | 3801 Sacramento Street,3801 Sacramento Street,,San Francisco,CA,94118,37.7869,-122.456
222,Sutter Health,CPMC California Campus | 3838 California Street,3838 California Street,,San Francisco,CA,94118,37.7861,-122.458
223,Sutter Health,"CPMC Cancer Center, Pacific Campus | 2351 Clay Street",Suite 134,,San Francisco,CA,94115,37.7905,-122.432
224,Sutter Health,CPMC Coming Home Hospice,115 Diamond Street,,San Francisco,CA,94102,37.7604,-122.437
225,Sutter Health,CPMC COVID Testing,"Monteagle Medical Office Building, 1st Floor",,San Francisco,CA,94110,37.7467,-122.421
226,Sutter Health,CPMC Davies Campus,Castro and Duboce Streets,,San Francisco,CA,94114,37.769,-122.436
227,Sutter Health,CPMC Davies Campus | 45 Castro Street,45 Castro Street,,San Francisco,CA,94114,37.7688,-122.436
228,Sutter Health,CPMC Department of Ophthalmology,Suite 250,,San Francisco,CA,94102,37.782,-122.421
229,Sutter Health,"CPMC Emergency, Davies Campus",N. Tower Level A,,San Francisco,CA,94114,37.769,-122.436
230,Sutter Health,"CPMC Emergency, Mission Bernal Campus",3555 Cesar Chavez Street,,San Francisco,CA,94110,37.7471,-122.421
231,Sutter Health,"CPMC Emergency, Pacific Campus - CLOSED",First Floor,,San Francisco,CA,94115,37.7906,-122.431
232,Sutter Health,"CPMC Emergency, Van Ness Campus",1260 Franklin Street,,San Francisco,CA,94109,37.786,-122.422
233,Sutter Health,"CPMC Imaging, California Campus | 3698 California Street",1st Floor Room 1810 & 2nd Floor,,San Francisco,CA,94118,37.7864,-122.455
234,Sutter Health,"CPMC Imaging, California Campus | 3838 California Street",Suite 106,,San Francisco,CA,94118,37.7861,-122.458
235,Sutter Health,"CPMC Imaging, Davies Campus | Castro and Duboce",Castro and Duboce Streets,,San Francisco,CA,94114,37.769,-122.436
236,Sutter Health,"CPMC Imaging, Mission Bernal Campus | 3555 Cesar Chavez Street",Suite 260,,San Francisco,CA,94110,37.7476,-122.421
237,Sutter Health,"CPMC Imaging, Mission Bernal Campus, 1580 Valencia Street",Floor 4,,San Francisco,CA,94110,37.7467,-122.421
238,Sutter Health,"CPMC Imaging, Pacific Campus | 2100 Webster Street",Suite 103,,San Francisco,CA,94115,37.7905,-122.432
239,Sutter Health,"CPMC Imaging, Van Ness Campus | 1101 Van Ness Avenue",Floor 3,,San Francisco,CA,94109,37.7859,-122.422
