HealthSystem,Name,ProviderType,Adr1,Adr2,City,State,ZipCode,Phone,Lat,Lng,Services
Genesis Health System,Genesis Center for Weight Management,Physical Therapy,1230 East Rusholme Street,Medical Office Building 2,,,,,,,
Genesis Health System,Genesis Cancer Care Institute,Physician Office,1351 West Central Park Avenue,Pavilion 1,,,,,,,
Genesis Health System,Genesis Sports Concussion Clinic,Physician Office,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,,
Genesis Health System,Genesis Center for Digestive Health,Physician Office,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,,
Genesis Health System,Genesis Cancer Genetics,Physician Office,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Breast Health,Physician Office,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Weight Management,Physician Office,1230 East Rusholme Street,Medical Office Building 2,,,,,,,
Genesis Health System,Genesis Cancer Care Institute,Senior Services,1351 West Central Park Avenue,Pavilion 1,,,,,,,
Genesis Health System,Genesis Sports Concussion Clinic,Senior Services,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,,
Genesis Health System,Genesis Center for Digestive Health,Senior Services,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,,
Genesis Health System,Genesis Cancer Genetics,Senior Services,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Breast Health,Senior Services,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Weight Management,Senior Services,1230 East Rusholme Street,Medical Office Building 2,,,,,,,
Sutter Health,Albany Care Center,care centers,500 San Pablo Avenue,,Albany,CA,94706,5102048130,37.8975,-122.302,
Sutter Health,Albany Center Lab,labs,500 San Pablo Avenue,,Albany,CA,94706,5102048199,37.8977,-122.302,
Sutter Health,Alhambra Medical Office,care centers,1201 Alhambra Blvd.,,Sacramento,CA,95816,,38.57,-121.466,
Sutter Health,Alhambra Sutter Occupational Health,occupational health,Suite 210,,Sacramento,CA,95816,9167317775,38.57,-121.466,
Sutter Health,Alta Bates Campus Birth Center,birth centers,2450 Ashby Avenue,,Berkeley,CA,94705,5102044444,37.8557,-122.257,
Sutter Health,Alta Bates Campus Diagnostic Imaging,imaging,2450 Ashby Avenue,,Berkeley,CA,94705,5102041566,37.8554,-122.257,
Sutter Health,Alta Bates Campus Emergency Department,emergency rooms,2450 Ashby Avenue,,Berkeley,CA,94705,5102041303,37.8554,-122.257,
Sutter Health,Alta Bates Campus Lab,labs,2450 Ashby Avenue,,Berkeley,CA,94705,5102041631,37.8554,-122.257,
Sutter Health,Alta Bates Campus Telegraph Care Center,care centers,3030 Telegraph Avenue,,Berkeley,CA,94705,5102041081,37.8548,-122.26,
Sutter Health,Alta Bates High Risk Infant Follow Up Clinic,care centers,3011 Telegraph Avenue,,Berkeley,CA,94705,5102044379,37.8557,-122.259,
Sutter Health,Alta Bates Outpatient Services,care centers,5730 Telegraph Avenue,,Oakland,CA,94609,,37.8438,-122.261,
Sutter Health,Alta Bates Summit Imaging,imaging,Ground Floor,,Oakland,CA,94609,5108698800,37.8201,-122.264,
Sutter Health,Alta Bates Summit Medical Center | Alta Bates Campus,hospitals,2450 Ashby Avenue,,Berkeley,CA,94705,5102044444,37.8557,-122.257,
Sutter Health,Alta Bates Summit Medical Center | Herrick Campus,hospitals,2001 Dwight Way,,Berkeley,CA,94704,5102044444,37.864,-122.269,
Sutter Health,Alta Bates Summit Medical Center | Regional Acute Rehabilitation Center,physical therapy rehab,350 Hawthorne Avenue,,Oakland,CA,94609,5108696325,37.8215,-122.263,
Sutter Health,Alta Bates Summit Medical Center | Summit Campus,hospitals,350 Hawthorne Avenue,,Oakland,CA,94609,5106554000,37.8215,-122.263,
Sutter Health,Alta Bates Summit Outpatient Pharmacy (ABSOP),pharmacies outpatient,Suite 2182,,Berkeley,CA,94704,8557441692,37.8642,-122.269,
Sutter Health,Antioch Care Center,care centers,4053 Lone Tree Way,,Antioch,CA,94509,9257767725,37.9765,-121.8,
Sutter Health,Antioch Center Imaging,imaging,4053 Lone Tree Way,,Antioch,CA,94509,5102476350,37.9765,-121.8,
Sutter Health,Antioch Center Lab,labs,4053 Lone Tree Way,,Antioch,CA,94509,5102045417,37.9771,-121.802,
Sutter Health,Antioch Urgent Care,urgent care,Suite 101,,Antioch,CA,94509,9257563499,37.9771,-121.802,
Sutter Health,Apogee Surgery Center,surgery centers,1238 West Street,,Redding,CA,96001,5302415499,40.5853,-122.399,
Sutter Health,Aptos Center,care centers,7600 Old Dominion Court,,Aptos,CA,95003,8314586200,36.9794,-121.91,
Sutter Health,Aptos Center Imaging,imaging,1st Floor,,Aptos,CA,95003,8314586200,36.9794,-121.91,
Sutter Health,Aptos Center Lab,labs,1st Floor,,Aptos,CA,95003,8314586200,36.9794,-121.91,
Sutter Health,Aptos Walk-In Care,walk in care,26 Rancho Del Mar,,Aptos,CA,95003,8009725547,36.9782,-121.908,
Sutter Health,Auburn Sierra Medical Office,care centers,11795 Education Street,,Auburn,CA,95602,,38.9447,-121.099,
Sutter Health,Auburn Urgent Care,urgent care,Suite 201,,Auburn,CA,95602,5308897470,38.9447,-121.099,
Sutter Health,Behavioral Health Center,care centers,Suite 2A,,Modesto,CA,95355,2095249401,37.6878,-120.977,
Sutter Health,Bell Road Care Center,care centers,3320 Bell Road,,Auburn,CA,95603,,38.9422,-121.106,
Sutter Health,Bell Road Lab(Temporarily Closed),labs,3288 Bell Road,,Auburn,CA,95603,5308862360,38.9425,-121.104,
Sutter Health,Berkeley Urgent Care,urgent care,2500 Milvia Street,,Berkeley,CA,94704,5102045514,37.8633,-122.27,
Sutter Health,Brentwood Care Center,care centers,350 John Muir Parkway,,Brentwood,CA,94513,9255132483,37.9199,-121.734,
Sutter Health,Brentwood Center Lab,labs,Suite 160,,Brentwood,CA,94513,5102041920,37.9199,-121.734,
Sutter Health,Briggsmore Specialty Center,care centers,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095241211,37.6674,-120.973,
Sutter Health,Briggsmore Specialty Center Imaging,imaging,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095504755,37.6674,-120.973,
Sutter Health,Briggsmore Specialty Center Lab,labs,1409 East Briggsmore Avenue,,Modesto,CA,95355,,37.6674,-120.973,
Sutter Health,Briggsmore Specialty Surgery Care Center,surgery centers,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095216097,37.6674,-120.973,
Sutter Health,Buhler Specialty Pavilion,care centers,2800 L Street,,Sacramento,CA,95816,9168874800,38.5711,-121.47,
Sutter Health,Burlingame Center,care centers,Building B,,Burlingame,CA,94010,,37.5921,-122.383,
Sutter Health,Burlingame Center Imaging,imaging,Building B,,,,,,,,
Sutter Health,Burlingame Center Lab,labs,Building B,,,,,,,,
Sutter Health,Burlingame Outreach Clinic,transplant outreach clinics,Suite 215,,Burlingame,CA,94010,4156001000,37.5924,-122.382,
Sutter Health,CaliforniaÂ PacificÂ Regional Rehabilitation Center at CPMC,physical therapy rehab,L142,,San Francisco,CA,94114,4156006153,37.769,-122.436,
Sutter Health,Capitol City Surgery Center,surgery centers,Suite 100,,Sacramento,CA,95815,9169252700,38.5988,-121.445,
Sutter Health,Capitola Center,care centers,815 Bay Avenue,,Capitola,CA,95010,8314607333,36.9809,-121.957,
Sutter Health,Capitola Center Lab(Temporarily Closed),labs,815 Bay Avenue,,Capitola,CA,95010,8314607333,36.9809,-121.957,
Sutter Health,Carlsbad Surgery Center,surgery centers,Suite 100,,Carlsbad,CA,92011,7604482488,33.1182,-117.319,
Sutter Health,Carol Ann Read Breast Health Center,imaging,Ground Floor,,Oakland,CA,94609,5108698377,37.8201,-122.264,
Sutter Health,Castro & Duboce Streets Care Center,care centers,Castro and Duboce Streets,,San Francisco,CA,94114,4156000240,37.7624,-122.434,
Sutter Health,Castro Valley Care Center,care centers,20101 Lake Chabot Road,,Castro Valley,CA,94546,5108863400,37.698,-122.087,
Sutter Health,Castro Valley Center Imaging,imaging,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476350,37.6984,-122.089,
Sutter Health,Castro Valley Center Lab,labs,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476340,37.6985,-122.089,
Sutter Health,Castro Valley Urgent Care,urgent care,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476300,37.6985,-122.089,
Sutter Health,Ceres Care Center,care centers,2516 East Whitmore Avenue,,Ceres,CA,95307,2095381733,37.5943,-120.949,
Sutter Health,Ceres Care Center Lab,labs,2516 East Whitmore Avenue,,Ceres,CA,95307,2095381733,37.5943,-120.949,
Sutter Health,Chico Outreach Clinic,transplant outreach clinics,Suite 3,,Chico,CA,95926,9167324380,39.743,-121.85,
Sutter Health,Citrus Heights Walk-In Care,walk in care,Suite 3,,Citrus Heights,CA,95610,8009725547,38.6653,-121.271,
Sutter Health,Coast Surgery Center,surgery centers,Suite 100,,San Diego,CA,92123,8582683566,32.8056,-117.15,
Sutter Health,Commercial Crossing Center,care centers,2850 Commercial Crossing,,Santa Cruz,CA,95065,8314607350,36.988,-121.982,
Sutter Health,Concord Outreach Clinic,transplant outreach clinics,2222 East Street,,Concord,CA,94520,4156001092,37.9814,-122.033,
Sutter Health,Concord Walk-In Care,walk in care,2095 Diamond Blvd.,,Concord,CA,94520,8009725547,37.973,-122.058,
Sutter Health,CPMC California Campus,hospitals,3700 California Street,,San Francisco,CA,94118,4156006000,37.7865,-122.456,
Sutter Health,CPMC California Campus | 3698 California Street,care centers,3698 California Street,,San Francisco,CA,94118,4156006000,37.7867,-122.455,
Sutter Health,CPMC California Campus | 3801 Sacramento Street,care centers,3801 Sacramento Street,,San Francisco,CA,94118,4156006000,37.7869,-122.456,
Sutter Health,CPMC California Campus | 3838 California Street,care centers,3838 California Street,,San Francisco,CA,94118,4152212112,37.7861,-122.458,
Sutter Health,CPMC Coming Home Hospice,care centers,115 Diamond Street,,San Francisco,CA,94102,4158611110,37.7604,-122.437,
Sutter Health,CPMC COVID Testing,labs,Monteagle Medical Office Building,,,,,,,,
Sutter Health,CPMC Davies Campus,hospitals,Castro and Duboce Streets,,San Francisco,CA,94114,4156006000,37.769,-122.436,
Sutter Health,CPMC Davies Campus | 45 Castro Street,care centers,45 Castro Street,,San Francisco,CA,94114,4156006000,37.7688,-122.436,
Sutter Health,CPMC Department of Ophthalmology,care centers,Suite 250,,San Francisco,CA,94102,4156003901,37.782,-122.421,
Sutter Health,CPMC Mission Bernal Campus,hospitals,3555 Cesar Chavez Street,,San Francisco,CA,94110,4156006000,37.7471,-122.421,
Sutter Health,CPMC Pacific Heights Outpatient Center | 2333 Buchanan Street,hospitals,2333 Buchanan Street,,San Francisco,CA,94115,4156006000,37.7907,-122.431,
Sutter Health,CPMC Van Ness Campus,hospitals,1101 Van Ness Avenue,,San Francisco,CA,94109,4156006000,37.7859,-122.422,
Sutter Health,Dale Road Care Center,care centers,3612 Dale Road,,Modesto,CA,95356,2095220146,37.691,-121.049,
Sutter Health,Dale Road Care Center Imaging,imaging,3612 Dale Road,,Modesto,CA,95356,2095504744,37.691,-121.049,
Sutter Health,Dale Road Care Center Lab,labs,3612 Dale Road,,Modesto,CA,95356,2095220146,37.691,-121.049,
Sutter Health,Daly City Center,care centers,Suite 111,,Daly City,CA,94015,6506528500,37.6652,-122.476,
Sutter Health,Daly City Center Imaging,imaging,Suite 111,,Daly City,CA,94015,6506528266,37.6652,-122.476,
Sutter Health,Daly City Center Lab,labs,Suite 111,,Daly City,CA,94015,6506528333,37.6652,-122.476,
Sutter Health,Danville Center,care centers,Suite 100,,Danville,CA,94526,9258753750,37.8072,-121.992,
Sutter Health,Danville Center Imaging,imaging,1st Floor,,,,,,,,
Sutter Health,Danville Community Health Resource Center,libraries resource centers,Suite 100,,Danville,CA,94526,9258756150,37.8072,-121.992,
Sutter Health,Davis Urgent Care,urgent care,Suite 101,,Davis,CA,95616,5307505830,38.5625,-121.771,
Sutter Health,Davis Walk-In Care,walk in care,Suite 130,,Davis,CA,95618,8009725547,38.5552,-121.698,
Sutter Health,Disabled Community Health Clinic (DCHC),care centers,2nd Floor,,Berkeley,CA,94704,5102044738,37.8639,-122.269,
Sutter Health,Dorothy Schneider Cancer Center,care centers,100 South San Mateo Drive,,San Mateo,CA,94401,6506964509,37.565,-122.326,
Sutter Health,Dublin Center,care centers,4050 Dublin Blvd.,,Dublin,CA,94568-3112,9258756100,37.7051,-121.873,
Sutter Health,Dublin Center Imaging,imaging,1st Floor,,Dublin,CA,94568-3112,9258756105,37.7051,-121.873,
Sutter Health,Dublin Center Lab,labs,1st Floor,,Dublin,CA,94568-3112,9258756171,37.7051,-121.873,
Sutter Health,Dublin Community Health Resource Center,libraries resource centers,First Floor,,Dublin,CA,94568,9258756150,37.7051,-121.873,
Sutter Health,Dublin Cosmetic Surgery Center,care centers,Floor 2,,Dublin,CA,94568,9258753730,37.705,-121.872,
Sutter Health,Dublin Outreach Clinic(Temporarily Closed),transplant outreach clinics,4050 Dublin Blvd.,,Dublin,CA,94568,4156001000,37.7051,-121.873,
Sutter Health,Dublin Pediatric Urgent Care,urgent care,1st Floor,,Dublin,CA,94568,9258753700,37.7051,-121.873,
Sutter Health,Dublin Physical Therapy,physical therapy rehab,Suite 320,,Dublin,CA,94568,5104983900,37.705,-121.872,
Sutter Health,Dublin Sleep Disorders Center,care centers,4000 Dublin Blvd.,,Dublin,CA,94568,5104982689,37.705,-121.872,
Sutter Health,Dublin Walk-In Care,walk in care,3918 Fallon Road,,Dublin,CA,94568,8009725547,37.7059,-121.851,
Sutter Health,East Bay AIDS Center (EBAC),care centers,2nd Floor,,Oakland,CA,94609,5108698400,37.8201,-122.264,
Sutter Health,East Bay AIDS Center (EBAC) Pharmacy,pharmacies outpatient,Room 2403,,Oakland,CA,94609,8888156656,37.8201,-122.264,
Sutter Health,East Bay Endoscopy Center,surgery centers,Suite 100,,Emeryville,CA,94608,5106544554,37.8401,-122.291,
Sutter Health,East Palo Alto Care Center,care centers,1950 University Avenue,,East Palo Alto,CA,94303,,37.4593,-122.142,
Sutter Health,Eden Medical Center,hospitals,20103 Lake Chabot Road,,Castro Valley,CA,94546,5105371234,37.6983,-122.09,
Sutter Health,Eden Medical Center | Outpatient Rehabilitation Facility,physical therapy rehab,14207 East 14th Street,,San Leandro,CA,94578,5107272800,37.7122,-122.14,
Sutter Health,Eden Medical Center Birth Center,birth centers,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273046,37.6984,-122.089,
Sutter Health,Eden Medical Center Emergency Department,emergency rooms,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273015,37.6983,-122.09,
Sutter Health,Eden Medical Center Imaging,imaging,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273226,37.6983,-122.09,
Sutter Health,Eden Medical Center Lab,labs,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273036,37.6983,-122.09,
Sutter Health,Eden Radiation Oncology Center,care centers,20126 Stanton Avenue,,Castro Valley,CA,94546,5107272750,37.6972,-122.09,
Sutter Health,El Dorado Hills Walk-In Care,walk in care,Suite 80,,El Dorado Hills,CA,95762,8009725547,38.656,-121.07,
Sutter Health,Elk Grove Urgent Care,urgent care,Suite 113,,Elk Grove,CA,95758,9164786561,38.421,-121.405,
Sutter Health,Elk Grove Walk-In Care,walk in care,Suite 180,,Elk Grove,CA,95758,8009725547,38.4074,-121.449,
Sutter Health,Eureka Outreach Clinic(Temporarily Closed),transplant outreach clinics,2367 Harrison Avenue,,Eureka,CA,95501,7074459015,40.7857,-124.139,
Sutter Health,Eye Care Center,care centers,Suite C,,Modesto,CA,95350,2095504780,37.6894,-120.979,
Sutter Health,Fairfield Occupational Health,occupational health,2702 Low Court,,Fairfield,CA,94534,7074322900,38.2366,-122.085,
