HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Phone,Lat,Lng
Banner Health,Banner Family Pharmacy,2946 E BANNER GATEWAY DR,,GILBERT,AZ,85234,,,
Banner Health,Banner Family Pharmacy at Banner Gateway,1900 N HIGLEY RD,,GILBERT,AZ,85234,,,
Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,
Banner Health,Banner Thunderbird Cardiac and Pulmonary Rehabilitation,5601 W EUGIE AVE STE 211 A & B,,GLENDALE,AZ,85304,,,
Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,,
Banner Health,Banner - University Medicine Lung Institute,755 E. MCDOWELL ROAD,,PHOENIX,AZ,85006,,,
Banner Health,Banner Alzheimer's Institute,901 E WILLETTA ST 1ST FLOOR AND 3RD FLOOR,,PHOENIX,AZ,85006,,,
Banner Health,Banner - University Medicine Behavioral Health Clinic,1300 N 12TH ST STE 320,,PHOENIX,AZ,85006,,,
Banner Health,Banner - University Medicine Transplant Center and Advanced Liver Disease Clinic,1300 N 12TH ST STE 404,,PHOENIX,AZ,85006,,,
Banner Health,Banner - University Medicine Toxicology Clinic,1012 E WILLETTA ST 2ND FLOOR,,PHOENIX,6,-2502,,,
Banner Health,Banner - University Medical Center Phoenix Sleep Center,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,,
Banner Health,Banner Estrella Weight Loss Center,9305 W THOMAS RD STE 360,,PHOENIX,AZ,85037,,,
Banner Health,Banner Corporate Center,2901 N CENTRAL AVE STE 160,,PHOENIX,AZ,85012,,,
Banner Health,Banner Corporate Center Mesa,525 W BROWN RD,,MESA,AZ,85201,,,
Banner Health,Hospitality House at North Colorado Medical Center,1910 15TH ST,,GREELEY,CO,80631,,,
Banner Health,Banner Corporate Center,7251 W 4TH ST,,GREELEY,CO,80634,,,
Banner Health,Banner Olive Branch Senior Center,11250 N 107TH AVE,,SUN CITY,AZ,85351,,,
Banner Health,Banner Sun Health Research Institute,10515 W SANTA FE DR,,SUN CITY,AZ,85351,,,
Banner Health,Banner Home Care,708 E ROUTE 260 STE A1,,PAYSON,AZ,85541,,,
Banner Health,Stepping Stones Adult Day Program,302 3RD ST SE STE 100,,LOVELAND,CO,80537,,,
Banner Health,Banner Academy,1410 W 10TH PL,,TEMPE,AZ,85281,,,
Genesis Health System,Genesis Employee Wellness,210 West 53rd Street,,Davenport,IA,52806,563-421-0660,,
Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,
Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,
Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,
Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,
Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,
Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,
Genesis Health System,Genesis Sports Concussion Clinic,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,
Genesis Health System,Genesis Center for Digestive Health,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,
Sutter Health,Albany Care Center,500 San Pablo Avenue,,Albany,CA,94706,5102048130,37.8975,-122.302
Sutter Health,Albany Center Lab,500 San Pablo Avenue,,Albany,CA,94706,5102048199,37.8977,-122.302
Sutter Health,Alhambra Medical Office,1201 Alhambra Blvd.,,Sacramento,CA,95816,,38.57,-121.466
Sutter Health,Alhambra Sutter Occupational Health,Suite 210,,Sacramento,CA,95816,9167317775,38.57,-121.466
Sutter Health,Alta Bates Campus Birth Center,2450 Ashby Avenue,,Berkeley,CA,94705,5102044444,37.8557,-122.257
Sutter Health,Alta Bates Campus Diagnostic Imaging,2450 Ashby Avenue,,Berkeley,CA,94705,5102041566,37.8554,-122.257
Sutter Health,Alta Bates Campus Emergency Department,2450 Ashby Avenue,,Berkeley,CA,94705,5102041303,37.8554,-122.257
Sutter Health,Alta Bates Campus Lab,2450 Ashby Avenue,,Berkeley,CA,94705,5102041631,37.8554,-122.257
Sutter Health,Alta Bates Campus Telegraph Care Center,3030 Telegraph Avenue,,Berkeley,CA,94705,5102041081,37.8548,-122.26
Sutter Health,Alta Bates High Risk Infant Follow Up Clinic,3011 Telegraph Avenue,,Berkeley,CA,94705,5102044379,37.8557,-122.259
Sutter Health,Alta Bates Outpatient Services,5730 Telegraph Avenue,,Oakland,CA,94609,,37.8438,-122.261
Sutter Health,Alta Bates Summit Imaging,Ground Floor,,Oakland,CA,94609,5108698800,37.8201,-122.264
Sutter Health,Alta Bates Summit Medical Center | Alta Bates Campus,2450 Ashby Avenue,,Berkeley,CA,94705,5102044444,37.8557,-122.257
Sutter Health,Alta Bates Summit Medical Center | Herrick Campus,2001 Dwight Way,,Berkeley,CA,94704,5102044444,37.864,-122.269
Sutter Health,Alta Bates Summit Medical Center | Regional Acute Rehabilitation Center,350 Hawthorne Avenue,,Oakland,CA,94609,5108696325,37.8215,-122.263
Sutter Health,Alta Bates Summit Medical Center | Summit Campus,350 Hawthorne Avenue,,Oakland,CA,94609,5106554000,37.8215,-122.263
Sutter Health,Alta Bates Summit Outpatient Pharmacy (ABSOP),Suite 2182,,Berkeley,CA,94704,8557441692,37.8642,-122.269
Sutter Health,Antioch Care Center,4053 Lone Tree Way,,Antioch,CA,94509,9257767725,37.9765,-121.8
Sutter Health,Antioch Center Imaging,4053 Lone Tree Way,,Antioch,CA,94509,5102476350,37.9765,-121.8
Sutter Health,Antioch Center Lab,4053 Lone Tree Way,,Antioch,CA,94509,5102045417,37.9771,-121.802
Sutter Health,Antioch Urgent Care,Suite 101,,Antioch,CA,94509,9257563499,37.9771,-121.802
Sutter Health,Apogee Surgery Center,1238 West Street,,Redding,CA,96001,5302415499,40.5853,-122.399
Sutter Health,Aptos Center,7600 Old Dominion Court,,Aptos,CA,95003,8314586200,36.9794,-121.91
Sutter Health,Aptos Center Imaging,1st Floor,,Aptos,CA,95003,8314586200,36.9794,-121.91
Sutter Health,Aptos Center Lab,1st Floor,,Aptos,CA,95003,8314586200,36.9794,-121.91
Sutter Health,Aptos Walk-In Care,26 Rancho Del Mar,,Aptos,CA,95003,8009725547,36.9782,-121.908
Sutter Health,Auburn Sierra Medical Office,11795 Education Street,,Auburn,CA,95602,,38.9447,-121.099
Sutter Health,Auburn Urgent Care,Suite 201,,Auburn,CA,95602,5308897470,38.9447,-121.099
Sutter Health,Behavioral Health Center,Suite 2A,,Modesto,CA,95355,2095249401,37.6878,-120.977
Sutter Health,Bell Road Care Center,3320 Bell Road,,Auburn,CA,95603,,38.9422,-121.106
Sutter Health,Bell Road Lab(Temporarily Closed),3288 Bell Road,,Auburn,CA,95603,5308862360,38.9425,-121.104
Sutter Health,Berkeley Urgent Care,2500 Milvia Street,,Berkeley,CA,94704,5102045514,37.8633,-122.27
Sutter Health,Brentwood Care Center,350 John Muir Parkway,,Brentwood,CA,94513,9255132483,37.9199,-121.734
Sutter Health,Brentwood Center Lab,Suite 160,,Brentwood,CA,94513,5102041920,37.9199,-121.734
Sutter Health,Briggsmore Specialty Center,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095241211,37.6674,-120.973
Sutter Health,Briggsmore Specialty Center Imaging,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095504755,37.6674,-120.973
Sutter Health,Briggsmore Specialty Center Lab,1409 East Briggsmore Avenue,,Modesto,CA,95355,,37.6674,-120.973
Sutter Health,Briggsmore Specialty Surgery Care Center,1409 East Briggsmore Avenue,,Modesto,CA,95355,2095216097,37.6674,-120.973
Sutter Health,Buhler Specialty Pavilion,2800 L Street,,Sacramento,CA,95816,9168874800,38.5711,-121.47
Sutter Health,Burlingame Center,Building B,,Burlingame,CA,94010,,37.5921,-122.383
Sutter Health,Burlingame Outreach Clinic,Suite 215,,Burlingame,CA,94010,4156001000,37.5924,-122.382
Sutter Health,CaliforniaÂ PacificÂ Regional Rehabilitation Center at CPMC,L142,,San Francisco,CA,94114,4156006153,37.769,-122.436
Sutter Health,Capitol City Surgery Center,Suite 100,,Sacramento,CA,95815,9169252700,38.5988,-121.445
Sutter Health,Capitola Center,815 Bay Avenue,,Capitola,CA,95010,8314607333,36.9809,-121.957
Sutter Health,Capitola Center Lab(Temporarily Closed),815 Bay Avenue,,Capitola,CA,95010,8314607333,36.9809,-121.957
Sutter Health,Carlsbad Surgery Center,Suite 100,,Carlsbad,CA,92011,7604482488,33.1182,-117.319
Sutter Health,Carol Ann Read Breast Health Center,Ground Floor,,Oakland,CA,94609,5108698377,37.8201,-122.264
Sutter Health,Castro & Duboce Streets Care Center,Castro and Duboce Streets,,San Francisco,CA,94114,4156000240,37.7624,-122.434
Sutter Health,Castro Valley Care Center,20101 Lake Chabot Road,,Castro Valley,CA,94546,5108863400,37.698,-122.087
Sutter Health,Castro Valley Center Imaging,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476350,37.6984,-122.089
Sutter Health,Castro Valley Center Lab,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476340,37.6985,-122.089
Sutter Health,Castro Valley Urgent Care,20101 Lake Chabot Road,,Castro Valley,CA,94546,5102476300,37.6985,-122.089
Sutter Health,Ceres Care Center,2516 East Whitmore Avenue,,Ceres,CA,95307,2095381733,37.5943,-120.949
Sutter Health,Ceres Care Center Lab,2516 East Whitmore Avenue,,Ceres,CA,95307,2095381733,37.5943,-120.949
Sutter Health,Chico Outreach Clinic,Suite 3,,Chico,CA,95926,9167324380,39.743,-121.85
Sutter Health,Citrus Heights Walk-In Care,Suite 3,,Citrus Heights,CA,95610,8009725547,38.6653,-121.271
Sutter Health,Coast Surgery Center,Suite 100,,San Diego,CA,92123,8582683566,32.8056,-117.15
Sutter Health,Commercial Crossing Center,2850 Commercial Crossing,,Santa Cruz,CA,95065,8314607350,36.988,-121.982
Sutter Health,Concord Outreach Clinic,2222 East Street,,Concord,CA,94520,4156001092,37.9814,-122.033
Sutter Health,Concord Walk-In Care,2095 Diamond Blvd.,,Concord,CA,94520,8009725547,37.973,-122.058
Sutter Health,CPMC California Campus,3700 California Street,,San Francisco,CA,94118,4156006000,37.7865,-122.456
Sutter Health,CPMC California Campus | 3698 California Street,3698 California Street,,San Francisco,CA,94118,4156006000,37.7867,-122.455
Sutter Health,CPMC California Campus | 3801 Sacramento Street,3801 Sacramento Street,,San Francisco,CA,94118,4156006000,37.7869,-122.456
Sutter Health,CPMC California Campus | 3838 California Street,3838 California Street,,San Francisco,CA,94118,4152212112,37.7861,-122.458
Sutter Health,CPMC Coming Home Hospice,115 Diamond Street,,San Francisco,CA,94102,4158611110,37.7604,-122.437
Sutter Health,CPMC Davies Campus,Castro and Duboce Streets,,San Francisco,CA,94114,4156006000,37.769,-122.436
Sutter Health,CPMC Davies Campus | 45 Castro Street,45 Castro Street,,San Francisco,CA,94114,4156006000,37.7688,-122.436
Sutter Health,CPMC Department of Ophthalmology,Suite 250,,San Francisco,CA,94102,4156003901,37.782,-122.421
Sutter Health,CPMC Mission Bernal Campus,3555 Cesar Chavez Street,,San Francisco,CA,94110,4156006000,37.7471,-122.421
Sutter Health,CPMC Pacific Heights Outpatient Center | 2333 Buchanan Street,2333 Buchanan Street,,San Francisco,CA,94115,4156006000,37.7907,-122.431
Sutter Health,CPMC Van Ness Campus,1101 Van Ness Avenue,,San Francisco,CA,94109,4156006000,37.7859,-122.422
Sutter Health,Dale Road Care Center,3612 Dale Road,,Modesto,CA,95356,2095220146,37.691,-121.049
Sutter Health,Dale Road Care Center Imaging,3612 Dale Road,,Modesto,CA,95356,2095504744,37.691,-121.049
Sutter Health,Dale Road Care Center Lab,3612 Dale Road,,Modesto,CA,95356,2095220146,37.691,-121.049
Sutter Health,Daly City Center,Suite 111,,Daly City,CA,94015,6506528500,37.6652,-122.476
Sutter Health,Daly City Center Imaging,Suite 111,,Daly City,CA,94015,6506528266,37.6652,-122.476
Sutter Health,Daly City Center Lab,Suite 111,,Daly City,CA,94015,6506528333,37.6652,-122.476
Sutter Health,Danville Center,Suite 100,,Danville,CA,94526,9258753750,37.8072,-121.992
Sutter Health,Danville Community Health Resource Center,Suite 100,,Danville,CA,94526,9258756150,37.8072,-121.992
Sutter Health,Davis Urgent Care,Suite 101,,Davis,CA,95616,5307505830,38.5625,-121.771
Sutter Health,Davis Walk-In Care,Suite 130,,Davis,CA,95618,8009725547,38.5552,-121.698
Sutter Health,Disabled Community Health Clinic (DCHC),2nd Floor,,Berkeley,CA,94704,5102044738,37.8639,-122.269
Sutter Health,Dorothy Schneider Cancer Center,100 South San Mateo Drive,,San Mateo,CA,94401,6506964509,37.565,-122.326
Sutter Health,Dublin Center,4050 Dublin Blvd.,,Dublin,CA,94568-3112,9258756100,37.7051,-121.873
Sutter Health,Dublin Center Imaging,1st Floor,,Dublin,CA,94568-3112,9258756105,37.7051,-121.873
Sutter Health,Dublin Center Lab,1st Floor,,Dublin,CA,94568-3112,9258756171,37.7051,-121.873
Sutter Health,Dublin Community Health Resource Center,First Floor,,Dublin,CA,94568,9258756150,37.7051,-121.873
Sutter Health,Dublin Cosmetic Surgery Center,Floor 2,,Dublin,CA,94568,9258753730,37.705,-121.872
Sutter Health,Dublin Outreach Clinic(Temporarily Closed),4050 Dublin Blvd.,,Dublin,CA,94568,4156001000,37.7051,-121.873
Sutter Health,Dublin Pediatric Urgent Care,1st Floor,,Dublin,CA,94568,9258753700,37.7051,-121.873
Sutter Health,Dublin Physical Therapy,Suite 320,,Dublin,CA,94568,5104983900,37.705,-121.872
Sutter Health,Dublin Sleep Disorders Center,4000 Dublin Blvd.,,Dublin,CA,94568,5104982689,37.705,-121.872
Sutter Health,Dublin Walk-In Care,3918 Fallon Road,,Dublin,CA,94568,8009725547,37.7059,-121.851
Sutter Health,East Bay AIDS Center (EBAC),2nd Floor,,Oakland,CA,94609,5108698400,37.8201,-122.264
Sutter Health,East Bay AIDS Center (EBAC) Pharmacy,Room 2403,,Oakland,CA,94609,8888156656,37.8201,-122.264
Sutter Health,East Bay Endoscopy Center,Suite 100,,Emeryville,CA,94608,5106544554,37.8401,-122.291
Sutter Health,East Palo Alto Care Center,1950 University Avenue,,East Palo Alto,CA,94303,,37.4593,-122.142
Sutter Health,Eden Medical Center,20103 Lake Chabot Road,,Castro Valley,CA,94546,5105371234,37.6983,-122.09
Sutter Health,Eden Medical Center | Outpatient Rehabilitation Facility,14207 East 14th Street,,San Leandro,CA,94578,5107272800,37.7122,-122.14
Sutter Health,Eden Medical Center Birth Center,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273046,37.6984,-122.089
Sutter Health,Eden Medical Center Emergency Department,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273015,37.6983,-122.09
Sutter Health,Eden Medical Center Imaging,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273226,37.6983,-122.09
Sutter Health,Eden Medical Center Lab,20103 Lake Chabot Road,,Castro Valley,CA,94546,5107273036,37.6983,-122.09
Sutter Health,Eden Radiation Oncology Center,20126 Stanton Avenue,,Castro Valley,CA,94546,5107272750,37.6972,-122.09
Sutter Health,El Dorado Hills Walk-In Care,Suite 80,,El Dorado Hills,CA,95762,8009725547,38.656,-121.07
Sutter Health,Elk Grove Urgent Care,Suite 113,,Elk Grove,CA,95758,9164786561,38.421,-121.405
Sutter Health,Elk Grove Walk-In Care,Suite 180,,Elk Grove,CA,95758,8009725547,38.4074,-121.449
Sutter Health,Eureka Outreach Clinic(Temporarily Closed),2367 Harrison Avenue,,Eureka,CA,95501,7074459015,40.7857,-124.139
Sutter Health,Eye Care Center,Suite C,,Modesto,CA,95350,2095504780,37.6894,-120.979
Sutter Health,Fairfield Occupational Health,2702 Low Court,,Fairfield,CA,94534,7074322900,38.2366,-122.085
Sutter Health,Fairfield Urgent Care,2702 Low Court,,Fairfield,CA,94534,7074322777,38.2371,-122.085
Sutter Health,Fairmont Avenue Care Center Imaging,Suite 130,,Lodi,CA,95240,2093662001,38.1205,-121.287
Sutter Health,Fairmont Avenue Care Center Lab,999 South Fairmont Avenue,,Lodi,CA,95240,2093662001,38.1205,-121.287
Sutter Health,Fairmont Specialty Center,918 South Fairmont Avenue,,Lodi,CA,95240,,38.1221,-121.285
Sutter Health,Folsom Urgent Care,Suite 160,,Folsom,CA,95630,9168173730,38.6588,-121.13
Sutter Health,Folsom Walk-In Care,Suite 600,,Folsom,CA,95630,8009725547,38.6561,-121.121
Sutter Health,Fort Sutter Surgery Center,Suite 525,,Sacramento,CA,95816,9167335017,38.5729,-121.469
Sutter Health,Fremont Center,3200 Kearney Street,,Fremont,CA,94538,5104901222,37.5481,-121.974
Sutter Health,Fremont Psychiatry,Suite 310,,Fremont,CA,94538,5104982890,37.5472,-121.973
Sutter Health,Fremont Sleep Medicine,Suite 300,,Fremont,CA,94538,5104982689,37.5474,-121.973
Sutter Health,Fresno Outreach Clinic,Suite 103,,Fresno,CA,93720,4156001000,36.8366,-119.768
Sutter Health,Golden Gate Endoscopy Center,3370 Geary Blvd.,,San Francisco,CA,94401,4153797500,37.7815,-122.455
Sutter Health,Greenback Oaks Professional Business Park,5765 Greenback Lane,,Sacramento,CA,95841,9168651040,38.6816,-121.328
Sutter Health,Health Pavilion,5700 Telegraph Avenue,,Oakland,CA,94609,5102041788,37.8432,-122.261
Sutter Health,Herrick Campus Imaging,2001 Dwight Way,,Berkeley,CA,94704,5102046493,37.8639,-122.269
Sutter Health,Hollister Cardiovascular & Thoracic Surgery,Suite A,,Hollister,CA,95023,8316377680,36.8398,-121.385
Sutter Health,Imaging and Mammography Center,5730 Telegraph Avenue,,Oakland,CA,94609,5102041880,37.8435,-122.261
Sutter Health,Institute for Health & Healing | 101 Rowland Way,Suite 240,,Novato,CA,94945,4154619000,38.0973,-122.56
Sutter Health,Institute for Health & Healing | 1210 Sonoma Avenue,1210 Sonoma Avenue,,Santa Rosa,CA,95495,7075237185,38.4415,-122.699
Sutter Health,Institute for Health & Healing | 2300 California Street,2300 California Street,,San Francisco,CA,94115,4156003503,37.7894,-122.433
Sutter Health,Institute for Health & Healing | 2801 K Street,Suite 502,,Sacramento,CA,95816,9168874660,38.5729,-121.469
Sutter Health,Institute for Health & Healing | 301 Industrial Road,301 Industrial Road,,San Carlos,CA,94070,,37.5198,-122.266
Sutter Health,Institute for Health & Healing | 55 2nd Street,55 2nd Street,,San Francisco,CA,94105,,37.7888,-122.4
Sutter Health,Institute for Health & Healing | 8 Medical Plaza Drive,Suite 300,,Roseville,CA,95661,,38.7645,-121.245
Sutter Health,Kahi Mohala,91-2301 Old Fort Weaver Road,,Ewa Beach,HI,96706,8086718511,21.3735,-158.032
Sutter Health,Kettleman Care Center,1335 South Fairmont Avenue,,Lodi,CA,95242,2093662007,38.1158,-121.286
Sutter Health,Kettleman Care Center Lab,1335 South Fairmont Avenue,,Lodi,CA,95242,2093662007,38.1158,-121.286
Sutter Health,Lodi Avenue Care Center,Suite P,,Lodi,CA,95242,2093661990,38.1297,-121.289
Sutter Health,Los Altos Center,370 Distel Circle,,Los Altos,CA,94022-1442,6502545200,37.3955,-122.105
Sutter Health,Los Altos Center Imaging,370 Distel Circle,,Los Altos,CA,94022-1404,6502545259,37.3955,-122.105
Sutter Health,Los Altos Center Lab,370 Distel Circle,,Los Altos,CA,94022-1442,6502545255,37.3954,-122.105
Sutter Health,Los Gatos Center,15400 Los Gatos Blvd.,,Los Gatos,CA,95032,,37.2456,-121.957
Sutter Health,Los Gatos Center Imaging,15400 Los Gatos Blvd.,,Los Gatos,CA,95032,6509347700,37.2456,-121.957
Sutter Health,Los Gatos Center Lab,15400 Los Gatos Blvd.,,Los Gatos,CA,95032,4085233545,37.2454,-121.957
Sutter Health,Los Gatos Center Urgent Care,1st Floor,,Los Gatos,CA,95032,4087306200,37.2454,-121.957
Sutter Health,Los Gatos Gastroenterology,360 Dardanelli Lane,,Los Gatos,CA,95032,6509347575,37.2629,-121.967
Sutter Health,Los Gatos Pediatric Urgent Care,1st Floor,,Los Gatos,CA,95032,4087306222,37.2454,-121.957
Sutter Health,Los Gatos Winchester Center,15720 Winchester Blvd.,,Los Gatos,CA,95030,6509347000,37.2401,-121.976
Sutter Health,Los Gatos Winchester Center Imaging,1st Floor,,Los Gatos,CA,95030,6509347000,37.2403,-121.976
Sutter Health,Magnetic Imaging Affiliates,5730 Telegraph Avenue,,Oakland,CA,94609,5102042744,37.8438,-122.261
Sutter Health,Main Clinic 600 Coffee Road,600 Coffee Road,,Modesto,CA,95355,2095241211,37.6531,-120.974
Sutter Health,Main Clinic 600 Coffee Road Lab,600 Coffee Road,,Modesto,CA,95355,2095504760,37.6531,-120.974
Sutter Health,Main Clinic 600 Coffee Road Radiology,600 Coffee Road,,Modesto,CA,95355,2095504755,37.6531,-120.974
Sutter Health,Main Clinic 600 Coffee Road Urgent Care,600 Coffee Road,,Modesto,CA,95355,2095504777,37.6532,-120.974
Sutter Health,Manteca Care Center,165 Saint Dominics Drive,,Manteca,CA,95337,2098232345,37.7988,-121.246
Sutter Health,Mark West MOB Lab,34 Mark West Springs Road,,Santa Rosa,CA,95403,7075417949,38.495,-122.75
Sutter Health,Melchor Pavilion,2490 Hospital Drive,,Mountain View,CA,94040,6509347520,37.3698,-122.082
Sutter Health,Memorial Hospital Los Banos,520 West I Street,,Los Banos,CA,93635,2098260591,37.064,-120.859
Sutter Health,Memorial Hospital Los Banos Emergency Department,520 West I Street,,Los Banos,CA,93635,2098260591,37.064,-120.859
Sutter Health,Memorial Hospital Los Banos Family Birth Center,520 West I Street,,Los Banos,CA,93635,2098260591,37.064,-120.859
