GlobalUltimate_Name,Headquarters_Name,BusinessName,Physical_Adr1,Physical_Adr2,Physical_City,Physical_State,Physical_Zip,Physical_Zip4,Country,Telephone
Ascension Health Alliance,Ascension Health,Ascension Health,302 Clinton Ave,,Saint Clair,MI,48079,5090,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1080 E Washington St F,,Colton,CA,92324,4185,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,3230 Interstate 30 # 101,,Mesquite,TX,75150,2668,USA,9726864602
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,13847 E 14th St Ste 208,,San Leandro,CA,94578,2626,USA,5103575438
Tenet Healthcare Corporation,"Tenet Good Samaritan Hospital, Inc","Tenet Good Samaritan Hospital, Inc",310 Wilson Pike Cir,,Brentwood,TN,37027,5295,USA,
Banner Health,Banner Health,Banner Health,5310 W Thunderbird Rd # 2,,Glendale,AZ,85306,4706,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,13313 N Meridian Ave D5,,Oklahoma City,OK,73120,8380,USA,4053025149
Ascension Health Alliance,Presence Legacy Association,Presence Health Network,1812 E Lincoln Hwy,,New Lenox,IL,60451,3863,USA,8154858495
Banner Health,Sonora Quest Laboratories Llc.,Sonora Quest Laboratories Llc.,13657 W McDowell Rd # 100,,Goodyear,AZ,85395,2602,USA,6235354805
Baylor Scott & White Health,Baylor Scott & White Health,Baylor Scott & White Health,7300 Bosque Blvd,,Waco,TX,76710,4023,USA,2542022600
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.","Aurora Health Care, Inc.",351 S Washburn St,,Oshkosh,WI,54904,7932,USA,9202320718
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,625 E Fordham Rd,,Bronx,NY,10458,5049,USA,
Ascension Health Alliance,Presence Legacy Association,Presence Legacy Association,301 Madison St Ste 310,,Joliet,IL,60435,6686,USA,8157737737
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1611 Main St Ste 101,,Woodward,OK,73801,3064,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1060 E Green St,,Pasadena,CA,91106,2408,USA,6265843027
Ascension Health Alliance,Presence Legacy Association,Presence Legacy Association,100 N River Rd,,Des Plaines,IL,60016,1209,USA,8472971800
Ascension Health Alliance,"St. Vincent Hospital and Health Care Center, Inc.","St. Vincent Hospital and Health Care Center, Inc.",11201 USA Pkwy Ste 100,,Fishers,IN,46037,9204,USA,3179138100
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Hospital RCM Services LLC,1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Tenet Physician Partners,16030 Ventura Blvd # 200,,Encino,CA,91436,2731,USA,8184615000
Banner Health,Sonora Quest Laboratories Llc.,Sonora Quest Laboratories Llc.,3805 E Bell Rd Ste 1500,,Phoenix,AZ,85032,2178,USA,6024937133
New York University,New York University,New York University,550 1st Ave,,New York,NY,10016,6402,USA,2122638822
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health and Hospitals Corporation,3075 Highland Pkwy,,Downers Grove,IL,60515,1288,USA,6305729393
Ascension Health Alliance,Via Chrsti Rehabilitation Hosp Inc,"Via Christi Rehabilitation Hospital, Inc.",929 N St Francis St,,Wichita,KS,67214,3821,USA,3162688040
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,3401 Commission CT,,Woodbridge,VA,22192,1456,USA,
Quest Diagnostics Incorporated,Unilab Corporation,Unilab Corporation,15203 Eleventh St Ste D,,Victorville,CA,92395,3737,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1660 E 14th St Ste Ll2,,Brooklyn,NY,11229,1172,USA,7187871025
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.",Aurora,3326 165th Pl Ne,,Bellevue,WA,98008,2000,USA,4258811790
Ascension Health Alliance,Presence Legacy Association,Presence Care Transformation Corporation,200 S Wacker Dr,,Chicago,IL,60606,5829,USA,8157417137
Quest Diagnostics Incorporated,Holmes Hooper Inc,Holmes Hooper Inc,2400 Herodian Way SE # 323,,Smyrna,GA,30080,8581,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Primary Care Hoover, L.L.C.",2547 John Hawkins Pkwy # 103,,Hoover,AL,35244,3554,USA,
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,1049 E 46th St,,Chicago,IL,60653,3618,USA,
Tenet Healthcare Corporation,Creighton Alegent Health,Creighton Alegent Health,4612 S 25th St,,Omaha,NE,68107,1764,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,195 McGregor St Ste Ll25,,Manchester,NH,03102,3756,USA,
Quest Diagnostics Incorporated,"Examone World Wide, Inc.","Examone World Wide, Inc.",720 Sunrise Ave,,Roseville,CA,95661,4516,USA,
Tenet Healthcare Corporation,Baptist Health System,Baptist Health System,5253 Walzem Rd Ste 2,,Windcrest,TX,78218,2187,USA,2105990456
Ascension Health Alliance,Ascension Health Alliance,Seton Marble Falls Healthcare Center,700 N US Highway 281,,Marble Falls,TX,78654,5106,USA,8306932600
Advocate Aurora Health Inc.,"Aurora Pharmacy, Inc.","Aurora Pharmacy, Inc.",1818 W National Ave Ste 9,,Milwaukee,WI,53204,1118,USA,
Ascension Health Alliance,Seton Ascension,Seton Ascension,4900 Mueller Blvd,,Austin,TX,78723,3079,USA,5123240147
Ascension Health Alliance,"Ascension Via Christi Health, Inc","Via Christi Health, Inc.",8901 E Orme St,,Wichita,KS,67207,2473,USA,3168580333
Quest Diagnostics Incorporated,Holmes Hooper Inc,Holmes Hooper Inc,188 State Route 10,,East Hanover,NJ,07936,2107,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1632 Hover St,,Longmont,CO,80501,2441,USA,
Ascension Health Alliance,Presence Chicago Hospitals Network,Presence Chicago Hospitals Network,7435 W Talcott Ave,,Chicago,IL,60631,3707,USA,7737374636
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,4162 Ashby CT,,Shasta Lake,CA,96019,9215,USA,5302759650
Catholic Health Initiatives,"Trihealth, Inc.","Trihealth, Inc.",8500 Bilstein Blvd # 100,,Hamilton,OH,45015,2218,USA,5138743990
Advocate Aurora Health Inc.,"Aurora Medical Group, Inc.","Aurora Medical Group, Inc.",700 N Westhaven Dr,,Oshkosh,WI,54904,6947,USA,9204562030
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,450 W Washington St,,Nelsonville,OH,45764,1166,USA,
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc.",230 N Broad St,,Philadelphia,PA,19102,1121,USA,2157627000
Tenet Healthcare Corporation,Tenet Healthcare Corporation,DMC Imaging LLC,5130 Linton Blvd Ste I1,,Delray Beach,FL,33484,6597,USA,5616375300
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Comfort Family Clinic,215 W Anaheim St,,Wilmington,CA,90744,4418,USA,3108163111
Advocate Aurora Health Inc.,"Advanced Healthcare, Inc.",S C Advanced Healthcare,2015 E NWPORT AVE STE 208,,MILWAUKEE,WI,53211,,USA,
Baylor Scott & White Health,Baylor Health Care System,Baylor Health Care System,2001 Bryan St Ste 2700,,Dallas,TX,75201,3037,USA,4698144120
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,8 Saxon Ave Ste D,,Bay Shore,NY,11706,7036,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,570 Expressway Dr S,,Medford,NY,11763,2049,USA,5166777727
Baylor Scott & White Health,Baylor Health Care System,Baylor Health Care System,4708 Alliance Blvd # 300,,Plano,TX,75093,5340,USA,4698006000
Tenet Healthcare Corporation,"Tenet Florida Physician Services, L.L.C.","Tenet Florida Physician Services, L.L.C.",8200 S Jog Rd Ste 204,,Boynton Beach,FL,33472,2981,USA,5617404762
Tenet Healthcare Corporation,"Vhs Acquisition Subsidiary Number 9, Inc.","Vhs Acquisition Subsidiary Number 9, Inc.",67 Union St,,Natick,MA,01760,7700,USA,5083831000
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.","Aurora Health Care, Inc.",2600 Kiley Way,,Plymouth,WI,53073,5020,USA,9204497140
Ascension Health Alliance,Ascension Health Alliance,The Borgess Foundation,1521 Gull Rd Msb300,,Kalamazoo,MI,49048,1640,USA,2692264840
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,12 Bramble Bush Dr,,Falmouth,MA,02540,2325,USA,
Quest Diagnostics Incorporated,"Ameripath, Inc.","Ameripath, Inc.",4 Hartford Dr,,Tinton Falls,NJ,07701,4929,USA,
Quest Diagnostics Incorporated,"Quest Diagnostics Clinical Laboratories, Inc.","Quest Diagnostics Clinical Laboratories, Inc (de)",490 S Farrell Dr,,Palm Springs,CA,92262,7992,USA,
Ascension Health Alliance,St. John Hospital and Medical Center,St. John Hospital and Medical Center,42645 Garfield Rd Ste 102,,Clinton Township,MI,48038,5022,USA,5862864612
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,16750 80th Ave Ste D,,Tinley Park,IL,60477,3174,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1837 E Gibson Rd L,,Woodland,CA,95776,5168,USA,5306619599
Ascension Health Alliance,Affinity Health System,Affinity Health System,3329 N Richmond St,,Appleton,WI,54911,1063,USA,9203802715
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Fryecare Physicians LLC,915 Tate Blvd SE Ste 182,,Hickory,NC,28602,4042,USA,8283222005
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1724 State Road 44,,New Smyrna Beach,FL,32168,8339,USA,3864280932
Quest Diagnostics Incorporated,"Quest Diagnostics Clinical Laboratories, Inc.","Quest Diagnostics Clinical Laboratories, Inc (de)",4420 Sheridan St Ste A,,Hollywood,FL,33021,3552,USA,
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc",12657 Alcosta Blvd # 450,,San Ramon,CA,94583,4438,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,50 E Main Ave,,Morgan Hill,CA,95037,3661,USA,4087795831
Tenet Healthcare Corporation,Creighton Alegent Health,Creighton Alegent Health,2205 S 10th St,,Omaha,NE,68108,1155,USA,4029525000
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,325 2nd St,,Monument,CO,80132,8295,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,57 Long Pond Rd,,Plymouth,MA,02360,2670,USA,5087471570
Ascension Health Alliance,Ascension Health,Ascension Health,1201 W 38th St,,Austin,TX,78705,1006,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1163 Route 37 W,,Toms River,NJ,08755,4973,USA,
Ascension Health Alliance,"St. Vincent Hospital and Health Care Center, Inc.","St. Vincent Hospital and Health Care Center, Inc.",11530 Allisonville Rd # 150,,Fishers,IN,46038,1866,USA,
Ascension Health Alliance,"Our Lady of Lourdes Memorial Hospital, Inc.","Our Lady of Lourdes Memorial Hospital, Inc.",169 Riverside Dr,,Binghamton,NY,13905,4198,USA,6077985888
Ascension Health Alliance,Presence Legacy Association,Senior Resurrection Services,7435 W Talcott Ave,,Chicago,IL,60631,3707,USA,7737748000
Ascension Health Alliance,St John Medical Center Inc,St John Medical Center Inc,1725 E 19th St Ste 702,,Tulsa,OK,74104,5430,USA,9187491404
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.","Aurora Health Care, Inc.",1912 Rankin St,,Manitowoc,WI,54220,2641,USA,9206861701
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Doctors Hospital of Manteca, Inc.",1205 E North St,,Manteca,CA,95336,4900,USA,2098233111
Advocate Aurora Health Inc.,"Advanced Healthcare, Inc.","Advanced Healthcare, Inc.",325 E Silver Spring Dr,,Milwaukee,WI,53217,5222,USA,4142474800
Banner Health,Banner Health,Banner Health,5601 W Eugie Ave Ste 102,,Glendale,AZ,85304,1256,USA,6238472000
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,1412 Waukegan Rd,,Glenview,IL,60025,2121,USA,8479019841
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,105 Stevens Ave Ste 205,,Mount Vernon,NY,10550,2682,USA,9146643400
Banner Health,Banner Health,Banner Health,13203 N 103rd Ave Ste H5,,Sun City,AZ,85351,3032,USA,
Banner Health,Sonora Quest Laboratories Llc.,Sonora Quest Laboratories Llc.,1925 W Orange Grove Rd,,Tucson,AZ,85704,1143,USA,5202977526
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1860 E River Rd Ste 110,,Tucson,AZ,85718,5961,USA,5205293926
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,1870 W Winchestr Rd # 248,,Libertyville,IL,60048,5358,USA,8472818902
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"East Cooper Coastal Family Physicians, L.L.C.",3400 Salterbeck St 100a,,Mount Pleasant,SC,29466,7118,USA,8438491300
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"USP Cincinnati, Inc",4020 Smith Rd,,Cincinnati,OH,45209,1936,USA,5136195899
Ascension Health Alliance,St. Vincent's East,St. Vincent's East,1400 Urban Center Dr # 240,,Vestavia,AL,35242,2580,USA,2053132800
Baylor Scott & White Health,Baylor Health Care System,Baylor Health Care System,3504 Swiss Ave,,Dallas,TX,75204,6224,USA,2148202687
Ascension Health Alliance,Presence Legacy Association,Presence Health Network,799 S McLean Blvd,,Elgin,IL,60123,6702,USA,8476223467
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"West Boynton Urgent Care, LLC",8756 Boyntn Bch Blvd # 150,,Boynton Beach,FL,33472,4442,USA,5617402273
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,67 Union St,,Natick,MA,01760,7700,USA,
Tenet Healthcare Corporation,"Uspi Group Holdings, Inc.","Uspi Group Holdings, Inc.",3801 E Florida Ave # 650,,Denver,CO,80210,2571,USA,3033574411
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,750 Central Ave Ste B,,Dover,NH,03820,3434,USA,
New York University,Nyu Langone Hospitals,Nyu Langone Hospitals,5616 6th Ave,,Brooklyn,NY,11220,3419,USA,7184395440
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,81 E Scranton Ave 42,,Lake Bluff,IL,60044,2529,USA,8472955997
Baylor Scott & White Health,Baylor Health Care System,Baylor Medical Center At Irving,1901 N Macarthur Blvd,,Irving,TX,75061,2220,USA,9725798100
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,2600 Patriot Blvd,,Glenview,IL,60026,8024,USA,2242603100
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,730 N Broad St Ste 125,,Woodbury,NJ,08096,1704,USA,8568530283
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,3401 Hartzdale Dr Ste 123,,Camp Hill,PA,17011,7238,USA,7177376013
Quest Diagnostics Incorporated,"Quest Diagnostics Clinical Laboratories, Inc.","Quest Diagnostics Clinical Laboratories, Inc.",3030 Lake Ave Ste 4,,Fort Wayne,IN,46805,5428,USA,2604232649
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,5950 Berryhill Rd,,Milton,FL,32570,4009,USA,8506232469
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc.",925 Avenue C,,Marrero,LA,70072,3148,USA,5044593200
New York University,New York University,New York University,14 Washington Mews,,New York,NY,10003,6608,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,3479 Massillon Rd,,Uniontown,OH,44685,7825,USA,3308963707
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,575 Lincoln Ave,,Bellevue,PA,15202,3550,USA,4127610697
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,337 W Northwest Hwy,,Palatine,IL,60067,2414,USA,8479638354
Banner Health,Sonora Quest Laboratories Llc.,Sonora Quest Laboratories Llc.,15810 S 45th St Ste 101,,Phoenix,AZ,85048,7695,USA,4807040053
Banner Health,Banner Health,Banner Health,1405 S 8th Ave,,Sterling,CO,80751,4563,USA,9705268100
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Richmond ASC Leasing Company, LLC",15305 Dallas Pkwy Ste 160,,Addison,TX,75001,4637,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,69 Turnpike Ave,,Portsmouth,RI,02871,1419,USA,
Ascension Health Alliance,Ascension Health Alliance,Iola Family Practice,205 S Main St,,Iola,WI,54945,9685,USA,7154454803
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,1302 Franklin Ave # 4500,,Normal,IL,61761,3551,USA,3092682727
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,25455 Barton Rd Ste 210a,,Loma Linda,CA,92354,3177,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1408 Pine Ave,,Niagara Falls,NY,14301,1922,USA,7162854619
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,2340 E 8th St Ste F,,National City,CA,91950,2851,USA,6194798463
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,3795 Kiesel Ave,,Ogden,UT,84405,1601,USA,
Ascension Health Alliance,Presence Legacy Association,Provena Heritage Village,19065 Hickory Creek Dr # 310,,Mokena,IL,60448,8507,USA,7084787913
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,14275 Midway Rd Ste 400,,Addison,TX,75001,3676,USA,9728841010
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc.",2743 Jenkintown Rd,,Glenside,PA,19038,2531,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,898 N Federal Hwy,,Pompano Beach,FL,33062,4316,USA,7864785137
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,233 Montauk Hwy,,West Sayville,NY,11796,1811,USA,5166777734
Ascension Health Alliance,St. Vincent's East,St. Vincent's East,150 Gilbreath Dr,,Oneonta,AL,35121,2827,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,5830 Downey Ave,,Long Beach,CA,90805,4517,USA,5626336533
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1165 S Dora St Ste A1,,Ukiah,CA,95482,6353,USA,7074627553
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,791 State Route 17m,,Monroe,NY,10950,2620,USA,8457833889
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,"Reprosource Fertility Diagnostics, Inc.",300 Tradecenter Ste 6540,,Woburn,MA,01801,7436,USA,8006678893
Baylor Scott & White Health,Baylor Health Services,Komen Charlotte Race For Cure,2316 Randolph Rd,,Charlotte,NC,28207,1526,USA,7043478181
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"St. Augustine Endoscopy Center, LLC",212 Southpark Cir E,,Saint Augustine,FL,32086,5135,USA,9048246108
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc",4251 University Blvd S,,Jacksonville,FL,32216,4923,USA,
